ID,Nome,Idade,Regiao,Contrato,Carteirinha,Inspecao_Medica,Primeiro_Contrato,Ultimo_Contrato,Recomendacao
5014,Leticia Cunha Rocha,22,Oeste,Dependente (5012),Ativada,Fora da validade,2004-12-28,2014-12-26,Sim
5015,Carlos Souza Rocha,43,Oeste,Dependente (5012),Ativada,Fora da validade,2004-12-28,2014-12-26,Sim
5016,Simone Fonseca Rocha,60,Oeste,Dependente (5012),Ativada,Dentro da validade,,,Sim
5017,Bruno Castro,29,Oeste,Sem Contrato,Desativada,Fora da validade,2004-01-02,2005-01-01,Não
5018,Tatiana Moreira Castro,37,Oeste,Dependente (5017),Ativada,Fora da validade,,,Sim
5019,José Carvalho Castro,17,Oeste,Dependente (5017),Desativada,Dentro da validade,2004-01-02,2005-01-01,Sim
5020,Eduardo Moura Castro,57,Oeste,Dependente (5017),Ativada,Fora da validade,,,Sim
5021,Carolina Freitas,23,Oeste,Sem Contrato,Ativada,Fora da validade,2004-11-14,2014-11-12,Não
5022,Bruno Castro,39,Sul,Sem Contrato,Ativada,Fora da validade,2004-09-02,2009-09-01,Não
5023,Anderson Coelho,23,Oeste,Sem Contrato,Ativada,Fora da validade,2004-03-24,2014-03-22,Não
5024,Leonardo Vieira,41,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-10-19,2009-10-18,Não
5025,Anderson Coelho Vieira,60,Oeste,Dependente (5024),Desativada,Dentro da validade,,,Sim
5026,Ricardo Barbosa,49,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-09-09,2005-09-09,Não
5027,Vinicius Torres,22,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-10-20,2009-10-19,Sim
5028,José Carvalho Torres,53,Oeste,Dependente (5027),Desativada,Dentro da validade,,,Sim
5029,Amanda Dias Torres,33,Oeste,Dependente (5027),Ativada,Dentro da validade,,,Sim
5030,Leticia Cunha,66,Sul,Sem Contrato,Desativada,Dentro da validade,2004-10-12,2009-10-11,Não
5031,Isabela Castro Cunha,25,Sul,Dependente (5030),Desativada,Fora da validade,,,Sim
5032,Daniela Sousa Cunha,56,Sul,Dependente (5030),Desativada,Fora da validade,,,Sim
5033,José Carvalho Cunha,58,Sul,Dependente (5030),Ativada,Fora da validade,,,Sim
5034,Paulo Nascimento,32,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-05-01,2005-05-01,Sim
5035,Anderson Coelho Nascimento,36,Oeste,Dependente (5034),Desativada,Dentro da validade,,,Sim
5036,Patricia Rocha Nascimento,54,Oeste,Dependente (5034),Ativada,Dentro da validade,2004-05-01,2005-05-01,Sim
5037,Pedro Oliveira Nascimento,42,Oeste,Dependente (5034),Ativada,Fora da validade,2004-05-01,2005-05-01,Sim
5038,Juliana Lima,31,Norte,Sem Contrato,Desativada,Dentro da validade,2004-08-12,2014-08-10,Sim
5039,Rodrigo Neves Lima,8,Norte,Dependente (5038),Ativada,Fora da validade,,,Sim
5040,Carolina Freitas Lima,57,Norte,Dependente (5038),Ativada,Fora da validade,,,Sim
5041,Lucas Teixeira Lima,58,Norte,Dependente (5038),Ativada,Dentro da validade,2004-08-12,2014-08-10,Sim
5042,Bruno Castro Lima,35,Norte,Dependente (5038),Ativada,Fora da validade,,,Sim
5043,Monica Batista Lima,52,Norte,Dependente (5038),Ativada,Dentro da validade,,,Sim
5044,Bruno Castro Lima,55,Norte,Dependente (5038),Ativada,Dentro da validade,,,Sim
5045,Beatriz Cardoso,31,Oeste,Sem Contrato,Ativada,Fora da validade,2004-12-15,2014-12-13,Não
5046,Henrique Lopes Cardoso,37,Oeste,Dependente (5045),Ativada,Fora da validade,,,Sim
5047,Bruna Ribeiro,65,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-09-28,2009-09-27,Não
5048,Lucas Teixeira Ribeiro,9,Oeste,Dependente (5047),Ativada,Dentro da validade,,,Sim
5049,Adriana Farias Ribeiro,35,Oeste,Dependente (5047),Ativada,Fora da validade,,,Sim
5050,Gustavo Azevedo Ribeiro,61,Oeste,Dependente (5047),Ativada,Dentro da validade,,,Sim
5051,Anderson Coelho Ribeiro,46,Oeste,Dependente (5047),Ativada,Dentro da validade,,,Sim
5052,Lucia Ferreira Ribeiro,29,Oeste,Dependente (5047),Ativada,Dentro da validade,2004-09-28,2009-09-27,Sim
5053,Alexandre Araújo,66,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-04-04,2014-04-02,Não
5054,Patricia Rocha Araújo,13,Oeste,Dependente (5053),Ativada,Dentro da validade,2004-04-04,2014-04-02,Sim
5055,Felipe Barros,68,Oeste,Sem Contrato,Desativada,Fora da validade,2004-04-06,2014-04-04,Não
5056,Ricardo Barbosa Barros,48,Oeste,Dependente (5055),Desativada,Dentro da validade,,,Sim
5057,José Carvalho,57,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-03-14,2005-03-14,Sim
5058,João Silva,34,Norte,Sem Contrato,Ativada,Dentro da validade,2004-07-13,2014-07-11,Não
5059,Vanessa Correia Silva,25,Norte,Dependente (5058),Desativada,Dentro da validade,,,Sim
5060,Eduardo Moura Silva,26,Norte,Dependente (5058),Ativada,Fora da validade,,,Sim
5061,Paulo Nascimento,68,Oeste,Sem Contrato,Ativada,Fora da validade,2004-01-25,2005-01-24,Não
5062,Simone Fonseca Nascimento,65,Oeste,Dependente (5061),Ativada,Dentro da validade,,,Sim
5063,Leonardo Vieira Nascimento,53,Oeste,Dependente (5061),Desativada,Dentro da validade,2004-01-25,2005-01-24,Sim
5064,Isabela Castro,28,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-01-06,2009-01-04,Não
5065,Lucas Teixeira Castro,53,Oeste,Dependente (5064),Desativada,Fora da validade,2004-01-06,2009-01-04,Sim
5066,Bruna Ribeiro,19,Oeste,Sem Contrato,Ativada,Fora da validade,2004-07-06,2009-07-05,Não
5067,Fernanda Gomes Ribeiro,7,Oeste,Dependente (5066),Ativada,Dentro da validade,,,Sim
5068,Patricia Rocha Ribeiro,20,Oeste,Dependente (5066),Desativada,Fora da validade,,,Sim
5069,Juliana Lima Ribeiro,44,Oeste,Dependente (5066),Desativada,Fora da validade,,,Sim
5070,Simone Fonseca,44,Norte,Sem Contrato,Ativada,Dentro da validade,2004-10-13,2009-10-12,Sim
5071,Rodrigo Neves Fonseca,15,Norte,Dependente (5070),Desativada,Dentro da validade,,,Sim
5072,Vinicius Torres Fonseca,9,Norte,Dependente (5070),Ativada,Dentro da validade,,,Sim
5073,Carolina Freitas Fonseca,56,Norte,Dependente (5070),Ativada,Dentro da validade,,,Sim
5074,Alexandre Araújo Fonseca,41,Norte,Dependente (5070),Ativada,Dentro da validade,,,Sim
5075,Fernanda Gomes,33,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-08-06,2005-08-06,Não
5076,Renata Campos,62,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-06-15,2005-06-15,Não
5077,Anderson Coelho,28,Norte,Sem Contrato,Ativada,Fora da validade,2004-03-16,2014-03-14,Não
5078,Tatiana Moreira Coelho,9,Norte,Dependente (5077),Ativada,Dentro da validade,,,Sim
5079,Alexandre Araújo Coelho,60,Norte,Dependente (5077),Desativada,Dentro da validade,,,Sim
5080,Leticia Cunha,44,Oeste,Sem Contrato,Ativada,Fora da validade,2004-05-18,2009-05-17,Sim
5081,Monica Batista Cunha,48,Oeste,Dependente (5080),Ativada,Dentro da validade,,,Sim
5082,Ana Costa Cunha,19,Oeste,Dependente (5080),Desativada,Dentro da validade,,,Sim
5083,Paula Melo,67,Oeste,Sem Contrato,Ativada,Fora da validade,2004-09-03,2014-09-01,Não
5084,Amanda Dias,50,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-10-20,2009-10-19,Não
5085,Ana Costa Dias,55,Oeste,Dependente (5084),Ativada,Dentro da validade,,,Sim
5086,Henrique Lopes Dias,14,Oeste,Dependente (5084),Ativada,Dentro da validade,,,Sim
5087,Paula Melo Dias,47,Oeste,Dependente (5084),Ativada,Dentro da validade,,,Sim
5088,Leonardo Vieira Dias,34,Oeste,Dependente (5084),Ativada,Dentro da validade,,,Sim
5089,Bruno Castro Dias,32,Oeste,Dependente (5084),Ativada,Fora da validade,,,Sim
5090,Roberto Martins,26,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-09-04,2014-09-02,Não
5091,Adriana Farias Martins,51,Oeste,Dependente (5090),Desativada,Dentro da validade,,,Sim
5092,Lucia Ferreira Martins,41,Oeste,Dependente (5090),Ativada,Dentro da validade,,,Sim
5093,Cristina Machado Martins,59,Oeste,Dependente (5090),Ativada,Dentro da validade,,,Sim
5094,Marcos Pereira Martins,42,Oeste,Dependente (5090),Desativada,Dentro da validade,,,Sim
5095,Leonardo Vieira Martins,63,Oeste,Dependente (5090),Ativada,Dentro da validade,2004-09-04,2014-09-02,Sim
5096,Bruna Ribeiro Martins,58,Oeste,Dependente (5090),Ativada,Fora da validade,,,Sim
5097,Maria Santos,36,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-08-15,2005-08-15,Sim
5098,Patricia Rocha Santos,55,Oeste,Dependente (5097),Desativada,Fora da validade,,,Sim
5099,Leticia Cunha Santos,57,Oeste,Dependente (5097),Ativada,Dentro da validade,,,Sim
5100,Thiago Monteiro Santos,43,Oeste,Dependente (5097),Ativada,Fora da validade,,,Sim
5101,Cristina Machado,22,Oeste,Sem Contrato,Ativada,Fora da validade,2004-05-01,2014-04-29,Sim
5102,Amanda Dias Machado,53,Oeste,Dependente (5101),Desativada,Dentro da validade,,,Sim
5103,Rodrigo Neves Machado,15,Oeste,Dependente (5101),Desativada,Dentro da validade,,,Sim
5104,Isabela Castro Machado,17,Oeste,Dependente (5101),Desativada,Dentro da validade,,,Sim
5105,Marcos Pereira,47,Oeste,Sem Contrato,Desativada,Fora da validade,2004-06-04,2014-06-02,Não
5106,José Carvalho,66,Sul,Sem Contrato,Desativada,Fora da validade,2004-06-22,2009-06-21,Sim
5107,Bruno Castro Carvalho,8,Sul,Dependente (5106),Desativada,Dentro da validade,,,Sim
5108,Roberto Martins,19,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-09-30,2014-09-28,Não
5109,Gabriel Ramos,64,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-11-16,2005-11-16,Sim
5110,Lucas Teixeira Ramos,13,Oeste,Dependente (5109),Ativada,Dentro da validade,,,Sim
5111,Simone Fonseca Ramos,49,Oeste,Dependente (5109),Desativada,Dentro da validade,,,Sim
5112,Lucia Ferreira Ramos,64,Oeste,Dependente (5109),Ativada,Dentro da validade,,,Sim
5113,Juliana Lima,21,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-11-02,2005-11-02,Sim
5114,Amanda Dias,39,Oeste,Sem Contrato,Ativada,Fora da validade,2004-02-21,2014-02-18,Sim
5115,Vanessa Correia Dias,24,Oeste,Dependente (5114),Desativada,Dentro da validade,2004-02-21,2014-02-18,Sim
5116,João Silva,54,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-06-17,2009-06-16,Não
5117,Camila Rodrigues Silva,26,Oeste,Dependente (5116),Desativada,Fora da validade,,,Sim
5118,Isabela Castro Silva,15,Oeste,Dependente (5116),Ativada,Dentro da validade,,,Sim
5119,Anderson Coelho Silva,46,Oeste,Dependente (5116),Desativada,Fora da validade,,,Sim
5120,Vinicius Torres Silva,35,Oeste,Dependente (5116),Desativada,Fora da validade,,,Sim
5121,Marcos Pereira,33,Oeste,Sem Contrato,Ativada,Fora da validade,2004-02-12,2009-02-10,Não
5122,Simone Fonseca Pereira,20,Oeste,Dependente (5121),Ativada,Dentro da validade,,,Sim
5123,Lucia Ferreira Pereira,43,Oeste,Dependente (5121),Ativada,Dentro da validade,,,Sim
5124,Leticia Cunha,21,Oeste,Sem Contrato,Ativada,Fora da validade,2004-12-26,2014-12-24,Sim
5125,Eduardo Moura Cunha,36,Oeste,Dependente (5124),Ativada,Fora da validade,,,Sim
5126,Paulo Nascimento Cunha,47,Oeste,Dependente (5124),Desativada,Fora da validade,,,Sim
5127,Vanessa Correia,59,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-05-25,2005-05-25,Sim
5128,Bruno Castro,41,Sul,Sem Contrato,Ativada,Dentro da validade,2004-08-10,2009-08-09,Sim
5129,Daniela Sousa Castro,6,Sul,Dependente (5128),Ativada,Fora da validade,,,Sim
5130,Alexandre Araújo Castro,42,Sul,Dependente (5128),Desativada,Fora da validade,,,Sim
5131,Fernanda Gomes Castro,37,Sul,Dependente (5128),Ativada,Fora da validade,,,Sim
5132,Ricardo Barbosa Castro,20,Sul,Dependente (5128),Desativada,Fora da validade,,,Sim
5133,José Carvalho Castro,20,Sul,Dependente (5128),Ativada,Dentro da validade,,,Sim
5134,Monica Batista,33,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-05-21,2009-05-20,Não
5135,Fernanda Gomes Batista,14,Oeste,Dependente (5134),Ativada,Dentro da validade,,,Sim
5136,Leonardo Vieira Batista,41,Oeste,Dependente (5134),Ativada,Dentro da validade,,,Sim
5137,Thiago Monteiro,21,Oeste,Sem Contrato,Ativada,Fora da validade,2004-08-22,2005-08-22,Não
5138,Roberto Martins Monteiro,25,Oeste,Dependente (5137),Ativada,Dentro da validade,,,Sim
5139,Felipe Barros,41,Sul,Sem Contrato,Desativada,Dentro da validade,2004-12-28,2005-12-28,Não
5140,Vinicius Torres Barros,8,Sul,Dependente (5139),Ativada,Dentro da validade,,,Sim
5141,Monica Batista Barros,48,Sul,Dependente (5139),Ativada,Dentro da validade,,,Sim
5142,Marcos Pereira,23,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-06-05,2005-06-05,Não
5143,Pedro Oliveira Pereira,65,Oeste,Dependente (5142),Ativada,Dentro da validade,,,Sim
5144,Amanda Dias Pereira,57,Oeste,Dependente (5142),Desativada,Fora da validade,,,Sim
5145,Marcelo Rezende,40,Oeste,Sem Contrato,Desativada,Fora da validade,2004-06-25,2005-06-25,Não
5146,Vinicius Torres,48,Oeste,Sem Contrato,Ativada,Fora da validade,2004-11-11,2014-11-09,Não
5147,Eduardo Moura,32,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-07-20,2009-07-19,Não
5148,Bruna Ribeiro Moura,12,Oeste,Dependente (5147),Desativada,Dentro da validade,,,Sim
5149,Carolina Freitas,60,Norte,Sem Contrato,Desativada,Fora da validade,2004-02-08,2014-02-05,Não
5150,Simone Fonseca Freitas,5,Norte,Dependente (5149),Ativada,Fora da validade,,,Sim
5151,Rafael Mendes,36,Oeste,Sem Contrato,Desativada,Fora da validade,2004-06-09,2005-06-09,Não
5152,Lucas Teixeira Mendes,43,Oeste,Dependente (5151),Ativada,Fora da validade,,,Sim
5153,Monica Batista Mendes,18,Oeste,Dependente (5151),Desativada,Dentro da validade,,,Sim
5154,Fernando Alves,65,Oeste,Sem Contrato,Ativada,Fora da validade,2004-09-15,2005-09-15,Sim
5155,Ana Costa Alves,51,Oeste,Dependente (5154),Ativada,Dentro da validade,,,Sim
5156,Renata Campos Alves,37,Oeste,Dependente (5154),Ativada,Dentro da validade,2004-09-15,2005-09-15,Sim
5157,Tatiana Moreira Alves,56,Oeste,Dependente (5154),Desativada,Dentro da validade,,,Sim
5158,Patricia Rocha,33,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-02-28,2009-02-26,Sim
5159,Renata Campos Rocha,57,Oeste,Dependente (5158),Desativada,Fora da validade,,,Sim
5160,Pedro Oliveira Rocha,27,Oeste,Dependente (5158),Desativada,Fora da validade,2004-02-28,2009-02-26,Sim
5161,Vanessa Correia Rocha,53,Oeste,Dependente (5158),Ativada,Fora da validade,,,Sim
5162,Fernanda Gomes Rocha,38,Oeste,Dependente (5158),Ativada,Dentro da validade,,,Sim
5163,Mariana Duarte Rocha,15,Oeste,Dependente (5158),Desativada,Fora da validade,,,Sim
5164,Gabriel Ramos,61,Oeste,Sem Contrato,Ativada,Fora da validade,2004-10-10,2005-10-10,Não
5165,Maria Santos Ramos,34,Oeste,Dependente (5164),Ativada,Fora da validade,,,Sim
5166,Maria Santos Ramos,39,Oeste,Dependente (5164),Ativada,Fora da validade,,,Sim
5167,Leonardo Vieira,51,Norte,Sem Contrato,Desativada,Dentro da validade,2004-11-05,2009-11-04,Sim
5168,Henrique Lopes Vieira,40,Norte,Dependente (5167),Ativada,Dentro da validade,2004-11-05,2009-11-04,Sim
5169,Diego Pinto Vieira,35,Norte,Dependente (5167),Ativada,Dentro da validade,,,Sim
5170,Lucas Teixeira,51,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-08-10,2009-08-09,Não
5171,Juliana Lima Teixeira,32,Oeste,Dependente (5170),Ativada,Dentro da validade,2004-08-10,2009-08-09,Sim
5172,Henrique Lopes Teixeira,55,Oeste,Dependente (5170),Ativada,Dentro da validade,,,Sim
5173,Amanda Dias Teixeira,64,Oeste,Dependente (5170),Desativada,Dentro da validade,2004-08-10,2009-08-09,Sim
5174,Lucia Ferreira,46,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-11-16,2014-11-14,Não
5175,Bruna Ribeiro Ferreira,26,Oeste,Dependente (5174),Desativada,Dentro da validade,2004-11-16,2014-11-14,Sim
5176,Silvia Cavalcanti Ferreira,35,Oeste,Dependente (5174),Ativada,Dentro da validade,,,Sim
5177,Fernando Alves Ferreira,29,Oeste,Dependente (5174),Ativada,Dentro da validade,,,Sim
5178,Marcos Pereira Ferreira,58,Oeste,Dependente (5174),Ativada,Dentro da validade,,,Sim
5179,Monica Batista Ferreira,14,Oeste,Dependente (5174),Ativada,Dentro da validade,,,Sim
5180,Ana Costa Ferreira,13,Oeste,Dependente (5174),Desativada,Fora da validade,,,Sim
5181,Ana Costa,38,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-05-28,2009-05-27,Sim
5182,Marcelo Rezende Costa,7,Oeste,Dependente (5181),Desativada,Dentro da validade,2004-05-28,2009-05-27,Sim
5183,Camila Rodrigues Costa,41,Oeste,Dependente (5181),Desativada,Dentro da validade,,,Sim
5184,Renata Campos Costa,37,Oeste,Dependente (5181),Ativada,Dentro da validade,,,Sim
5185,Camila Rodrigues Costa,5,Oeste,Dependente (5181),Ativada,Fora da validade,,,Sim
5186,Alexandre Araújo,51,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-05-25,2005-05-25,Não
5187,Raquel Pires Araújo,24,Oeste,Dependente (5186),Desativada,Dentro da validade,,,Sim
5188,Fernando Alves,62,Sul,Sem Contrato,Ativada,Dentro da validade,2004-01-10,2009-01-08,Sim
5189,Tatiana Moreira Alves,31,Sul,Dependente (5188),Desativada,Dentro da validade,,,Sim
5190,Vinicius Torres Alves,17,Sul,Dependente (5188),Ativada,Dentro da validade,,,Sim
5191,Marcos Pereira Alves,14,Sul,Dependente (5188),Ativada,Dentro da validade,,,Sim
5192,Marcos Pereira,43,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-06-16,2014-06-14,Não
5193,Diego Pinto Pereira,52,Oeste,Dependente (5192),Ativada,Fora da validade,,,Sim
5194,Fernando Alves Pereira,16,Oeste,Dependente (5192),Ativada,Fora da validade,2004-06-16,2014-06-14,Sim
5195,Paulo Nascimento,65,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-09-22,2014-09-20,Sim
5196,João Silva Nascimento,26,Oeste,Dependente (5195),Ativada,Dentro da validade,2004-09-22,2014-09-20,Sim
5197,Felipe Barros Nascimento,56,Oeste,Dependente (5195),Ativada,Dentro da validade,,,Sim
5198,Mariana Duarte Nascimento,38,Oeste,Dependente (5195),Ativada,Fora da validade,,,Sim
5199,Raquel Pires Nascimento,7,Oeste,Dependente (5195),Ativada,Dentro da validade,,,Sim
5200,Juliana Lima Nascimento,25,Oeste,Dependente (5195),Ativada,Dentro da validade,,,Sim
5201,Adriana Farias Nascimento,56,Oeste,Dependente (5195),Desativada,Fora da validade,,,Sim
5202,Marcos Pereira,27,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-06-04,2009-06-03,Não
5203,Vanessa Correia Pereira,17,Oeste,Dependente (5202),Desativada,Dentro da validade,,,Sim
5204,Leticia Cunha Pereira,9,Oeste,Dependente (5202),Ativada,Dentro da validade,,,Sim
5205,Lucia Ferreira,52,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-02-07,2005-02-06,Não
5206,Bruno Castro,56,Norte,Sem Contrato,Ativada,Dentro da validade,2004-05-14,2005-05-14,Não
5207,Juliana Lima Castro,60,Norte,Dependente (5206),Ativada,Fora da validade,2004-05-14,2005-05-14,Sim
5208,Fernando Alves Castro,57,Norte,Dependente (5206),Ativada,Fora da validade,,,Sim
5209,Rafael Mendes Castro,59,Norte,Dependente (5206),Desativada,Fora da validade,,,Sim
5210,Mariana Duarte,27,Norte,Sem Contrato,Ativada,Dentro da validade,2004-12-12,2014-12-10,Sim
5211,Pedro Oliveira Duarte,19,Norte,Dependente (5210),Ativada,Dentro da validade,,,Sim
5212,Carlos Souza Duarte,38,Norte,Dependente (5210),Ativada,Fora da validade,,,Sim
5213,Beatriz Cardoso,24,Oeste,Sem Contrato,Desativada,Fora da validade,2004-10-14,2014-10-12,Não
5214,Gustavo Azevedo Cardoso,60,Oeste,Dependente (5213),Ativada,Dentro da validade,,,Sim
5215,Pedro Oliveira Cardoso,37,Oeste,Dependente (5213),Ativada,Dentro da validade,,,Sim
5216,Gabriel Ramos,42,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-05-20,2005-05-20,Não
5217,Thiago Monteiro,24,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-01-13,2005-01-12,Não
5218,Lucia Ferreira Monteiro,34,Oeste,Dependente (5217),Ativada,Fora da validade,2004-01-13,2005-01-12,Sim
5219,Marcelo Rezende,68,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-11-03,2009-11-02,Sim
5220,Raquel Pires Rezende,45,Oeste,Dependente (5219),Ativada,Fora da validade,,,Sim
5221,João Silva Rezende,43,Oeste,Dependente (5219),Desativada,Dentro da validade,,,Sim
5222,José Carvalho Rezende,30,Oeste,Dependente (5219),Desativada,Fora da validade,,,Sim
5223,Isabela Castro,29,Sul,Sem Contrato,Ativada,Fora da validade,2004-05-27,2005-05-27,Não
5224,Gustavo Azevedo Castro,27,Sul,Dependente (5223),Ativada,Dentro da validade,,,Sim
5225,Vanessa Correia,20,Oeste,Sem Contrato,Ativada,Fora da validade,2004-11-26,2014-11-24,Não
5226,Gabriel Ramos,43,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-09-30,2014-09-28,Não
5227,Gabriel Ramos Ramos,6,Oeste,Dependente (5226),Ativada,Dentro da validade,,,Sim
5228,Vanessa Correia Ramos,34,Oeste,Dependente (5226),Ativada,Fora da validade,2004-09-30,2014-09-28,Sim
5229,Leonardo Vieira Ramos,45,Oeste,Dependente (5226),Ativada,Dentro da validade,,,Sim
5230,Leticia Cunha,34,Oeste,Sem Contrato,Ativada,Fora da validade,2004-05-19,2014-05-17,Não
5231,Anderson Coelho,47,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-01-13,2005-01-12,Sim
5232,Rafael Mendes Coelho,41,Oeste,Dependente (5231),Desativada,Dentro da validade,,,Sim
5233,Patricia Rocha,46,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-04-13,2005-04-13,Não
5234,Pedro Oliveira Rocha,22,Oeste,Dependente (5233),Desativada,Dentro da validade,2004-04-13,2005-04-13,Sim
5235,Gabriel Ramos Rocha,23,Oeste,Dependente (5233),Ativada,Fora da validade,,,Sim
5236,Daniela Sousa Rocha,32,Oeste,Dependente (5233),Ativada,Dentro da validade,,,Sim
5237,Alexandre Araújo,60,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-04-29,2014-04-27,Sim
5238,Marcos Pereira Araújo,19,Oeste,Dependente (5237),Ativada,Dentro da validade,,,Sim
5239,Maria Santos Araújo,57,Oeste,Dependente (5237),Ativada,Dentro da validade,,,Sim
